Qty,Value,Device,Package,Parts,Description,Unit Price,Total Price,SMT,THT,Original,Remark,,,,,,,,,,VALUE
2,0.1uF,0.1UF-0603-25V-5%,603,"C1, C2",0.1µF ceramic capacitors,0.000 ,0.000 ,4 ,,N,,,,,,,,,,,0.1uF
1,545500571,545500571,545500571,JOYSTICK,Joystick FFC conector,1.354 ,1.354 ,7 ,,Y,,,,,,,,,,,
1,1-1734839-4,1-1734839-4,TE_1-1734839-4,J1,Conn FPC Connector SKT 14 POS 0.5mm Solder RA SMD T/R,1.081 ,1.081 ,14 ,,Y,,,,,,,,,,,
6,EVQ-Q2B03W,EVQ-Q2B03W,EVQQ2_3,"DPAD_DN, DPAD_L, DPAD_R, DPAD_UP, L2, SELECT",Trigger Button,0.330 ,1.980 ,24 ,,N,,,,,,,,,,,
1,SKRTLAE010,SKRTLAE010,SW3_SKRTLAE010_ALPS,L1,,0.500 ,0.500 ,5 ,,N,,,,,,,,,,,
,,,,,,Total,4.915 ,54 ,0 ,,,,,,,,,,,,
